0,0.1767,0.17567,0.64763
1,0.18937,0.20133,0.6093
2,0.16783,0.32748,0.50469
3,0.16744,0.34774,0.48482
4,0.14789,0.39595,0.45616
5,0.16743,0.41975,0.41282
6,0.16239,0.43116,0.40645
7,0.16525,0.46914,0.36561
8,0.15896,0.50713,0.33391
9,0.18295,0.58693,0.23012
10,0.17493,0.64584,0.17923
11,0.21675,0.18347,0.59978
12,0.20611,0.2226,0.57129
13,0.23432,0.23663,0.52905
14,0.19806,0.34716,0.45478
15,0.1937,0.39599,0.41031
16,0.18783,0.41151,0.40065
17,0.20182,0.45643,0.34175
18,0.20515,0.46385,0.33099
19,0.21009,0.56374,0.22617
20,0.22447,0.58672,0.1888
21,0.29514,0.17127,0.53359
22,0.25469,0.22673,0.51858
23,0.242,0.24547,0.51253
24,0.23639,0.31457,0.44904
25,0.2395,0.40725,0.35325
26,0.24345,0.41651,0.34004
27,0.24499,0.49764,0.25737
28,0.24419,0.51862,0.2372
29,0.26174,0.56924,0.16902
30,0.35756,0.16158,0.48086
31,0.35893,0.18915,0.45192
32,0.29125,0.28035,0.4284
33,0.31954,0.33137,0.34908
34,0.32903,0.36654,0.30443
35,0.28429,0.46978,0.24593
36,0.32071,0.47665,0.20264
37,0.30244,0.53196,0.1656
38,0.37394,0.14298,0.48308
39,0.39998,0.19089,0.40913
40,0.37765,0.26587,0.35648
41,0.34438,0.34222,0.3134
42,0.38675,0.34298,0.27027
43,0.37048,0.41499,0.21453
44,0.38206,0.44661,0.17134
45,0.41238,0.16537,0.42225
46,0.41504,0.1864,0.39856
47,0.43381,0.25651,0.30969
48,0.44301,0.281,0.27598
49,0.40358,0.39956,0.19686
50,0.41762,0.42272,0.15966
51,0.46076,0.16746,0.37178
52,0.44935,0.19446,0.35619
53,0.49728,0.22963,0.27309
54,0.47481,0.33508,0.19011
55,0.47119,0.37253,0.15629
56,0.47764,0.15225,0.37011
57,0.48616,0.20586,0.30797
58,0.49931,0.25203,0.24866
59,0.47465,0.36475,0.1606
60,0.50765,0.15301,0.33934
61,0.56218,0.19744,0.24037
62,0.53776,0.29351,0.16873
63,0.60533,0.16903,0.22564
64,0.59016,0.2081,0.20175
65,0.6768,0.15627,0.16692
